feature,rf_importance,rf_importance_norm
vol_half_above_count,0.06665632404447766,0.06665632404447766
oamv_volatility_20d,0.06107553226643916,0.06107553226643916
oamv_change_3d,0.042200326662124095,0.042200326662124095
oamv_change_5d,0.04173122628888062,0.04173122628888062
oamv_diff,0.04164889115200112,0.04164889115200112
oamv_cyc5_slope,0.03836196107781575,0.03836196107781575
vol_change_1d,0.03782182129655838,0.03782182129655838
vol_half_above_4d,0.03463607755772609,0.03463607755772609
oamv_change_pct,0.03395143288915385,0.03395143288915385
oamv_cyc13,0.03239988535527203,0.03239988535527203
oamv_amount_ratio,0.030806115310061194,0.030806115310061194
oamv,0.02724266682272821,0.02724266682272821
vol_double,0.026574092236154093,0.026574092236154093
oamv_cyc5,0.025044210878758348,0.025044210878758348
oamv_direction,0.023205204932838105,0.023205204932838105
volatility_5d,0.02231347902925272,0.02231347902925272
vol_ratio_5,0.01463991962778419,0.01463991962778419
ret_1d,0.013699626993027783,0.013699626993027783
volatility_20d,0.012637516535447223,0.012637516535447223
K_slope,0.010550061538450284,0.010550061538450284
J_slope,0.010327540147251114,0.010327540147251114
amplitude,0.01020327681051248,0.01020327681051248
ma_5_bias,0.010112544482028498,0.010112544482028498
lower_shadow,0.009990213263442054,0.009990213263442054
ma_60_bias,0.009822994623504812,0.009822994623504812
ma_120_bias,0.009469171704651164,0.009469171704651164
RSI_24,0.008990580585311783,0.008990580585311783
vol_ratio_20,0.008684546819975053,0.008684546819975053
close_yellow_ratio,0.00863781886558158,0.00863781886558158
ret_20d,0.008618162139223326,0.008618162139223326
volume,0.008349822454383841,0.008349822454383841
vol_ma5,0.008290296767495877,0.008290296767495877
brick_change,0.008152723169347701,0.008152723169347701
gap,0.00801476694065134,0.00801476694065134
ret_60d,0.008001934826192781,0.008001934826192781
BB_width,0.007991206646436492,0.007991206646436492
vol_sky_floor_ratio,0.00790222110410843,0.00790222110410843
upper_shadow,0.00786324199546844,0.00786324199546844
max_dd_20d,0.007723217728344825,0.007723217728344825
K_D_cross,0.007700445699020042,0.007700445699020042
MACD_DIF,0.007651760726109893,0.007651760726109893
vol_ma20,0.00763752768325961,0.00763752768325961
price_position_20,0.007621382658105901,0.007621382658105901
ma_10_bias,0.007549063167063854,0.007549063167063854
K,0.007339732900454196,0.007339732900454196
D,0.007337148379248827,0.007337148379248827
J,0.007170521688911411,0.007170521688911411
brick_val,0.007104075185000414,0.007104075185000414
white_yellow_diff,0.006964604121734005,0.006964604121734005
RSI_12,0.006577579677182489,0.006577579677182489
ret_10d,0.00633392099602913,0.00633392099602913
ret_5d,0.006288558202810648,0.006288558202810648
J_prev,0.0062411528379497675,0.0062411528379497675
MACD_HIST,0.00618537312394304,0.00618537312394304
RSI_6,0.006131733881794915,0.006131733881794915
MACD_DEA,0.005935277697200791,0.005935277697200791
brick_var6a,0.005677451422472216,0.005677451422472216
BB_pct_b,0.005446940592179116,0.005446940592179116
ma_20,0.0053633422560062545,0.0053633422560062545
ma_20_bias,0.005325741170720568,0.005325741170720568
MACD_DIF_slope,0.005266741241070254,0.005266741241070254
ma_60,0.005110881961733376,0.005110881961733376
ma_10,0.005013552895632197,0.005013552895632197
yellow_line,0.004924901419019577,0.004924901419019577
BB_upper,0.004825443797511602,0.004825443797511602
oamv_is_aggressive,0.004456258081357617,0.004456258081357617
white_line,0.004422372874825955,0.004422372874825955
ma_5,0.004365133047689946,0.004365133047689946
BB_lower,0.004062762193927241,0.004062762193927241
ma_120,0.004008392158548037,0.004008392158548037
oamv_divergence,0.002623418928428189,0.002623418928428189
oamv_is_normal,0.002183390798497813,0.002183390798497813
oamv_trend,0.0015009066467714294,0.0015009066467714294
brick_red_streak,0.0010009607809538818,0.0010009607809538818
brick_green_to_red,0.0003949809205516152,0.0003949809205516152
white_direction,0.00034695005379057286,0.00034695005379057286
ma_20_60_cross,0.000329491131059446,0.000329491131059446
ma_5_20_cross,0.00032622145857839376,0.00032622145857839376
oamv_is_defensive,0.0002498825796204668,0.0002498825796204668
brick_green_streak,0.00021599851969947035,0.00021599851969947035
oamv_signal,0.00018309209848014276,0.00018309209848014276
MACD_HIST_sign,0.00016317793721574872,0.00016317793721574872
vol_sky,6.293978349525908e-05,6.293978349525908e-05
brick_red,3.616105548225054e-05,3.616105548225054e-05
brick_falling,0.0,0.0
brick_rising,0.0,0.0
brick_red_to_green,0.0,0.0
cross_below_yellow,0.0,0.0
oamv_golden_in_aggressive,0.0,0.0
vol_after_double_shrink,0.0,0.0
vol_floor,0.0,0.0
vol_double_again,0.0,0.0
vol_long_yin_short,0.0,0.0
white_above_yellow,0.0,0.0
