p_j_prev_max,p_gain_min,p_j_today_max,p_shadow_max,p_j_today_loose,p_shadow_loose,p_prior_strong_ret,p_green_streak_min,p_brick_val_high,p_brick_val_mid,p_brick_resonance_w,avg_return,avg_sharpe,avg_win_rate,avg_max_dd,total_trades,is_default
20,0.04,65,0.035,70,0.045,0.2,2,80,40,1.5,-0.3676530177157394,-0.3214833846111893,0.4874398378316768,-0.7332585084034489,11045,True
15,0.03,70,0.025,75,0.05,0.2,2,80,60,2.0,-0.17803258858305024,0.00025278826039767016,0.49401819223126137,-0.683008232064252,14156,False
15,0.03,70,0.025,75,0.05,0.25,4,60,40,2.0,-0.22304910311786166,-0.31266020868879635,0.49292664149529836,-0.6967740382625435,13897,False
15,0.03,65,0.025,70,0.045,0.25,1,80,40,1.0,-0.2048799660056336,-0.1814822090972518,0.49098384417760105,-0.6975508302521023,13272,False
15,0.03,60,0.025,70,0.035,0.25,1,60,50,1.0,-0.2238478952338668,-0.2167675885801347,0.489109072865961,-0.7017048035917512,12365,False
15,0.06,70,0.03,70,0.05,0.25,3,80,50,1.2,-0.14390889477331914,-0.48112791294812207,0.4794449935659415,-0.7410814970665552,3902,False
15,0.06,70,0.03,75,0.05,0.25,2,70,50,1.2,-0.2713035713178057,-0.5757159934938089,0.4790713948141767,-0.7619563358594243,3940,False
15,0.06,60,0.025,70,0.045,0.15,4,80,60,2.0,-0.22801280330224294,-1.0661078242217552,0.4706220096637961,-0.7812763772266696,3312,False
15,0.04,70,0.03,70,0.035,0.25,3,60,50,1.0,-0.27365105805059436,-0.38378669127517195,0.48766975546851193,-0.7074586784836944,9254,False
18,0.03,70,0.025,75,0.035,0.15,3,80,60,1.0,-0.34514442195692924,-0.36151263135481115,0.49319881504224955,-0.7014497085622032,15715,False
18,0.03,65,0.025,75,0.05,0.2,1,80,40,1.0,-0.23233622916201901,0.09402150287358961,0.4915270475555986,-0.6856065065656486,15222,False
