feature,gain,split
oamv_volatility_20d,1325.57246530056,93
oamv_change_pct,1216.119125366211,61
oamv_change_3d,1055.5581908226013,69
oamv_amount_ratio,938.063072681427,67
oamv_change_5d,818.8585395216942,65
ret_10d,516.5792712569237,66
mktcap_yi,467.10227674245834,55
volume_ratio_5d,424.4393401145935,53
pullback_10d,423.74669712781906,52
shadow_lower,420.76403045654297,48
macd_hist_diff,415.84379982948303,40
ret_20d,410.5035811662674,49
j_prev_diff,385.4836401939392,40
volume_ratio_20d,377.562801361084,45
macd_dea,375.96534872055054,42
ret_5d,373.42158031463623,47
volume_ratio_1d,354.4610502719879,31
b2_position_weight,323.83711862564087,32
white_yellow_distance,310.6233706474304,35
macd_dif,300.20590937137604,31
macd_hist,283.75575017929077,35
shadow_upper,240.44805085659027,33
brick_val,209.69594025611877,25
gain_today,179.97468996047974,28
k,179.27236986160278,23
white_line,163.8483989238739,23
yellow_line,138.46563933044672,25
j,129.64889001846313,19
gap_ratio,110.09635901451111,17
d,97.18921089172363,15
close_to_high_ratio,55.9299201965332,8
mktcap_log,31.142250061035156,3
oamv_is_aggressive,16.34480094909668,1
oamv_is_normal,13.13230037689209,1
brick_red_streak,6.483739852905273,1
brick_falling,0.0,0
close_above_yellow,0.0,0
brick_rising,0.0,0
b2_prior_strong,0.0,0
white_above_yellow,0.0,0
oamv_is_defensive,0.0,0
cross_below_yellow,0.0,0
brick_red_to_green,0.0,0
brick_green_streak,0.0,0
brick_green_to_red,0.0,0
oamv_signal,0.0,0
board_main,0.0,0
in_csi500_1000,0.0,0
