code,buy_price,sell_date,sell_price,shares,pnl,pnl_pct,reason,weight
600601,12.3,2026-01-14,12.24,2400,-191.04,-0.65,sig_close(T+6),1.7999999999999998
601933,4.84,2026-01-15,4.87,2800,62.21,0.46,sig_close(T+6),2.457
000703,10.84,2026-01-16,10.46,1400,-555.59,-3.66,candle_normal(T+1),1.638
002384,80.22,2026-01-19,77.81,200,-507.04,-3.16,candle_normal(T+1),2.6999999999999997
002326,26.24,2026-01-19,28.15,400,746.21,7.11,rotate,1.26
000825,5.15,2026-01-19,5.26,1800,182.91,1.97,rotate,1.3
601100,120.0,2026-01-20,114.88,100,-530.53,-4.42,candle_normal(T+1),2.34
601869,124.79,2026-01-21,114.17,100,-1080.59,-8.66,candle_normal(T+2),2.457
600372,15.96,2026-01-21,15.62,900,-328.58,-2.29,sig_close(T+1),7.02
600862,26.0,2026-01-21,25.14,100,-90.05,-3.46,sig_close(T+1),3.51
600115,6.13,2026-01-20,6.36,1300,285.86,3.59,rotate,1.5
601888,94.9,2026-01-22,93.61,100,-144.02,-1.52,candle_normal(T+2),2.9250000000000003
600029,7.8,2026-01-23,7.68,1700,-224.95,-1.7,candle_normal(T+3),2.25
000559,19.43,2026-01-26,18.81,900,-585.25,-3.35,sig_close(T+5),2.5199999999999996
600765,20.38,2026-01-26,19.68,500,-365.85,-3.59,sig_close(T+4),1.8899999999999997
600862,26.6,2026-01-26,25.27,200,-274.17,-5.15,candle_normal(T+1),3.51
601106,5.78,2026-01-27,5.55,500,-119.47,-4.13,candle_normal(T+2),7.02
601992,2.1,2026-01-27,2.02,700,-58.28,-3.96,candle_normal(T+2),7.02
000156,8.76,2026-01-27,8.57,2000,-407.54,-2.33,sig_close(T+1),3.276
000547,28.42,2026-01-27,27.73,300,-220.37,-2.58,sig_close(T+1),5.8500000000000005
601698,40.0,2026-01-27,38.76,100,-130.24,-3.25,sig_close(T+1),3.9000000000000004
002202,27.69,2026-01-29,26.9,400,-333.31,-3.01,candle_normal(T+4),3.51
002384,76.99,2026-01-29,75.18,100,-193.08,-2.51,sig_close(T+1),3.51
002240,37.49,2026-01-30,35.55,400,-798.98,-5.33,candle_normal(T+6),4.5
601872,11.22,2026-01-30,11.36,1000,121.87,1.09,sig_close(T+3),2.25
002222,70.3,2026-01-30,70.18,100,-23.23,-0.33,rotate,1.3649999999999998
600733,8.36,2026-02-02,7.77,1700,-1024.44,-7.21,candle_normal(T+3),2.25
002230,60.68,2026-02-02,57.0,200,-754.46,-6.21,candle_normal(T+1),3.6854999999999998
000973,12.15,2026-02-03,12.23,900,54.41,0.5,sig_close(T+1),2.0475
601179,15.6,2026-02-04,15.54,800,-67.91,-0.54,sig_close(T+1),6.1425
000066,16.08,2026-02-05,15.86,700,-171.81,-1.53,candle_normal(T+1),3.51
002008,50.25,2026-02-05,48.95,100,-137.87,-2.74,sig_close(T+1),10.53
002044,7.18,2026-02-05,7.07,300,-36.4,-1.69,sig_close(T+1),3.51
002607,2.87,2026-02-05,2.83,300,-13.36,-1.55,sig_close(T+1),3.51
601106,5.25,2026-02-05,5.13,100,-12.82,-2.44,candle_normal(T+1),3.51
000069,2.78,2026-02-06,2.71,4000,-297.43,-2.67,candle_normal(T+1),3.51
601336,79.3,2026-02-11,79.57,200,28.55,0.18,sig_close(T+11),2.6999999999999997
601992,2.14,2026-02-11,2.07,100,-7.33,-3.43,sig_close(T+5),8.424
000021,28.47,2026-02-11,28.12,200,-79.02,-1.39,candle_normal(T+1),5.265
600160,39.6,2026-02-13,38.81,200,-170.47,-2.15,candle_normal(T+4),3.51
603317,13.12,2026-03-05,12.84,600,-180.38,-2.29,candle_normal(T+18),2.6999999999999997
002131,9.0,2026-03-05,8.57,1300,-576.99,-4.93,candle_normal(T+8),7.02
601212,10.65,2026-03-05,10.04,100,-62.62,-5.88,candle_normal(T+6),8.775
000100,4.78,2026-03-09,4.77,900,-15.87,-0.37,sig_close(T+8),5.265
000338,27.45,2026-03-09,26.66,500,-416.45,-3.03,candle_normal(T+1),4.05
002195,10.77,2026-03-09,10.65,400,-54.83,-1.27,candle_normal(T+1),10.53
000831,55.0,2026-03-11,54.9,100,-18.79,-0.34,sig_close(T+15),3.51
600105,28.2,2026-03-12,27.35,700,-625.81,-3.17,candle_normal(T+1),5.265
603256,73.55,2026-03-12,72.58,100,-108.64,-1.48,sig_close(T+1),3.6854999999999998
000703,13.09,2026-03-13,12.8,1300,-403.74,-2.37,sig_close(T+1),5.3999999999999995
601969,13.6,2026-03-16,13.11,1200,-613.35,-3.76,candle_normal(T+1),8.1
603568,27.58,2026-03-17,27.3,400,-129.51,-1.17,candle_normal(T+17),3.51
601208,31.6,2026-03-17,31.08,100,-56.99,-1.8,candle_normal(T+4),3.375
600026,23.97,2026-03-19,23.73,1100,-305.84,-1.16,sig_close(T+2),7.02
002156,46.38,2026-03-20,44.34,300,-633.47,-4.55,candle_normal(T+1),3.51
600875,38.6,2026-03-20,36.9,200,-351.91,-4.56,candle_normal(T+1),3.51
603308,62.22,2026-03-20,60.19,100,-212.69,-3.42,candle_normal(T+1),3.51
002261,37.5,2026-03-19,38.13,200,113.84,1.52,rotate,1.5749999999999997
000657,30.0,2026-03-23,47.76,900,15920.02,58.95,yellow(T+47),2.34
600584,44.79,2026-03-23,39.08,200,-1154.85,-12.89,candle_normal(T+2),2.6999999999999997
600256,6.83,2026-03-23,7.09,1700,422.85,3.64,sig_close(T+1),3.51
003035,9.35,2026-03-25,9.34,900,-22.45,-0.27,sig_close(T+1),3.0
002756,61.0,2026-03-25,72.41,100,1129.76,18.52,rotate,0.8399999999999999
000688,33.24,2026-03-25,37.58,500,2140.59,12.88,rotate,1.5749999999999997
601872,16.8,2026-03-26,16.69,500,-68.37,-0.81,sig_close(T+7),7.02
000338,24.81,2026-03-26,23.78,100,-106.84,-4.3,candle_normal(T+1),4.3875
603308,62.7,2026-03-26,62.12,100,-67.96,-1.08,candle_normal(T+1),8.775
000039,11.41,2026-03-27,11.22,1000,-208.01,-1.82,candle_normal(T+2),4.5
002281,84.77,2026-03-27,84.5,100,-40.53,-0.48,sig_close(T+1),7.3709999999999996
002429,9.71,2026-03-27,9.71,800,-12.43,-0.16,sig_close(T+1),5.265
600105,26.25,2026-03-27,25.55,100,-74.11,-2.82,sig_close(T+1),3.51
601117,9.36,2026-03-27,9.1,100,-27.46,-2.93,sig_close(T+1),7.02
601991,4.18,2026-03-30,4.13,2000,-113.25,-1.35,candle_normal(T+3),2.6999999999999997
000792,37.3,2026-04-01,36.23,100,-112.83,-3.02,sig_close(T+5),2.6999999999999997
601126,31.8,2026-04-02,41.59,200,1945.28,30.58,yellow(T+54),2.6999999999999997
000516,4.9,2026-04-03,4.86,400,-19.12,-0.97,candle_normal(T+7),6.75
002463,79.0,2026-04-03,76.32,400,-1121.17,-3.55,sig_close(T+1),4.3875
600875,37.71,2026-04-03,36.86,100,-90.92,-2.41,candle_normal(T+1),10.53
000617,10.72,2026-04-08,10.39,2400,-832.14,-3.23,candle_normal(T+1),6.1425
600256,6.42,2026-04-09,6.58,2600,388.75,2.33,sig_close(T+1),7.02
000547,27.18,2026-04-10,26.49,600,-439.55,-2.69,candle_normal(T+1),5.265
003035,7.5,2026-04-10,7.53,700,12.57,0.24,sig_close(T+1),3.51
601126,43.0,2026-04-10,43.65,100,58.04,1.35,sig_close(T+1),6.75
600026,23.14,2026-04-13,22.93,600,-148.05,-1.07,candle_normal(T+6),4.914
002378,32.0,2026-04-15,30.14,400,-763.51,-5.96,candle_normal(T+5),2.457
000973,17.94,2026-04-16,17.29,1200,-813.43,-3.78,candle_normal(T+3),3.51
002294,66.4,2026-04-17,58.75,300,-2323.89,-11.66,candle_normal(T+1),3.1499999999999995
600295,14.9,2026-04-20,14.8,1000,-123.71,-0.83,candle_normal(T+2),4.725
000973,18.01,2026-04-21,17.77,400,-107.4,-1.49,sig_close(T+1),1.2599999999999998
000739,17.64,2026-04-27,18.56,300,267.17,5.05,rotate,1.0499999999999998
000792,37.5,2026-04-28,37.02,400,-215.75,-1.44,candle_normal(T+1),2.6999999999999997
002756,78.5,2026-04-28,76.18,100,-244.26,-3.11,candle_normal(T+1),4.5
002812,50.9,2026-05-07,85.31,300,10285.15,67.34,final_clear,5.265
000703,12.29,2026-05-07,16.41,2600,10646.95,33.31,final_clear,5.3999999999999995
600487,46.08,2026-05-07,75.96,100,2976.74,64.58,final_clear,10.53
603026,85.0,2026-05-07,108.58,100,2341.33,27.54,final_clear,5.3999999999999995
000973,19.1,2026-05-07,20.89,800,1405.69,9.2,final_clear,5.3999999999999995
000831,54.35,2026-05-07,55.59,200,230.29,2.12,final_clear,5.8500000000000005
002378,32.8,2026-05-07,34.54,200,337.05,5.14,final_clear,4.5
600392,26.19,2026-05-07,26.92,100,68.71,2.62,final_clear,7.02
601872,17.2,2026-05-07,18.43,100,120.09,6.98,final_clear,4.3875
